UserID,UserName,Email,Region,JoinDate,Level,TotalPlayTime,GamesOwned
40,drivera,kdorsey@green-davis.com,AF,2023-06-12,64,1279,15
41,christina43,bfitzgerald@gmail.com,SA,2019-02-16,29,5733,5
42,lindseyashley,victoria10@hotmail.com,EU,2023-08-17,95,1455,10
43,amber86,bmclean@lopez.org,SA,2020-01-13,28,3953,10
44,zhensley,peter63@yahoo.com,NA,2016-07-27,45,7901,12
45,vli,ellen57@rodriguez.org,AF,2024-07-10,94,855,6
46,kirkwilson,michaelmalone@smith.com,SA,2018-04-07,72,1696,12
47,laura01,hickstyler@yahoo.com,SA,2015-05-26,23,7330,14
48,brittney83,tyler59@jackson.com,EU,2017-09-15,60,1938,5
49,leehill,williamsclaudia@yahoo.com,ASIA,2023-01-10,54,3250,15
50,nfloyd,zwest@pena.com,OC,2020-08-27,32,4353,14
51,matthew80,michael03@williams.com,OC,2022-01-21,29,1326,10
52,marvin17,william81@yahoo.com,AF,2024-08-10,18,830,6
53,peterskyle,maryshaffer@yahoo.com,SA,2024-10-09,59,120,6
54,neilmartinez,qsmith@hotmail.com,NA,2017-09-05,11,3689,7
55,cturner,ljones@yahoo.com,EU,2025-05-01,99,8,10
56,michaelgay,destinykelley@mack.com,AF,2020-03-26,86,10048,13
57,goodandrea,wmccarthy@hotmail.com,SA,2021-06-08,92,5503,12
58,angela88,osmith@hotmail.com,AF,2017-10-06,61,5566,13
59,michealpreston,richardsnyder@yahoo.com,AF,2023-03-11,97,3577,5
60,shawncunningham,travis48@harris.com,NA,2021-06-28,15,4802,13
61,tonyjennings,hannah89@yahoo.com,NA,2016-05-07,19,3489,14
62,ashley17,lawrenceamanda@hodge-walton.biz,NA,2015-09-06,62,10345,12
63,kmcbride,yramirez@bell-nguyen.com,SA,2020-10-26,42,2212,5
64,heidi48,gonzaleztracey@hotmail.com,AF,2023-09-21,82,448,13
65,laura92,morganhebert@gmail.com,OC,2022-12-03,42,1246,9
66,bwallace,mcintoshtimothy@irwin.org,AF,2017-09-24,22,5368,11
67,ronaldhamilton,nsmith@jones-castaneda.com,EU,2021-09-23,76,5086,8
68,coxteresa,bryanpruitt@gmail.com,ASIA,2024-12-31,39,523,9
69,alexanderjoseph,barajaschristopher@hotmail.com,ASIA,2022-11-28,45,2513,12
70,bschwartz,cummingscarol@mays.info,OC,2019-02-22,88,3734,14
71,ronnie93,bnichols@hotmail.com,NA,2019-08-16,75,9872,5
72,hugheswilliam,jennifer15@yahoo.com,ASIA,2023-10-17,100,912,10
73,eric63,brooke87@gmail.com,SA,2024-07-09,66,1298,5
74,petersonkathy,alyssashannon@park.com,EU,2023-01-24,74,901,6
75,reyescatherine,jessicagoodman@james.com,ASIA,2021-07-10,3,2430,13
76,cole72,julialowery@gmail.com,NA,2021-01-01,42,6016,6
77,nkent,adamwright@gmail.com,OC,2024-12-03,84,658,8
78,ibarnes,kim22@hotmail.com,AF,2022-06-05,61,4574,6
79,perezjohn,mark45@gmail.com,AF,2020-06-28,67,2794,10
80,kristinemccarty,erica58@hotmail.com,OC,2023-08-14,16,718,13
81,ccollins,rodgerschristopher@yahoo.com,AF,2023-01-29,2,2132,14
82,ddiaz,kevin63@torres-nguyen.com,ASIA,2017-02-03,81,3392,5
83,zacharyedwards,afigueroa@king.biz,EU,2023-09-15,44,208,9
84,brett96,alexandra82@gmail.com,SA,2018-09-11,5,7304,10
85,angela43,beckyallen@hotmail.com,EU,2017-03-11,46,2668,15
86,kristenrussell,fostermicheal@hotmail.com,EU,2022-04-10,44,2489,14
87,mark15,jaimedavis@yahoo.com,SA,2022-05-30,22,2972,11
88,robert11,rodrigueznicholas@parker.biz,EU,2022-04-22,49,3855,13
89,osanchez,jimmy45@yahoo.com,NA,2020-09-12,32,5274,7
90,chungjanet,leslie94@hotmail.com,EU,2017-12-27,49,8469,15
91,lee90,territhompson@morrow.com,AF,2021-10-29,72,4927,13
92,loweyvonne,robertmartin@yahoo.com,AF,2022-05-04,14,3358,7
93,bradleymatthews,steven42@yahoo.com,NA,2018-06-06,53,11104,10
94,cynthiaferguson,awashington@gmail.com,ASIA,2017-12-19,7,5357,8
95,gabrielbrown,xrios@gmail.com,ASIA,2025-01-13,76,61,7
96,perezmelissa,christopher71@fry-miller.biz,AF,2019-06-22,94,4080,9
97,davisjennifer,ucohen@gmail.com,SA,2015-10-10,1,836,13
98,coxmiguel,christopherjackson@yahoo.com,EU,2022-01-08,38,1909,13
99,sherry55,gbartlett@gmail.com,EU,2015-12-26,16,3698,12
100,aprilrodriguez,suareznicholas@figueroa-murphy.com,AF,2016-12-21,97,983,10
